Index,Title,Description,Amount(in rupees),Price (in rupees),location,Carpet Area,Status,Floor,Transaction,Furnishing,facing,overlooking,Society,Bathroom,Balcony,Car Parking,Ownership,Super Area,Dimensions,Plot Area
3007,"5 BHK Flat for Sale in Sector 38, Lucknow","A beautiful 5 BHK apartment located in Sector 38, Lucknow, close to schools and markets.",93.91 Lac,,"Sector 38, Lucknow",1874 sqft,Ready to Move,11 out of 21,New Property,Semi-Furnished,South-West,Garden/Park,Society 138,4.0,2.0,1.0,Co-operative Society,223.9 sqm,43x43,
3008,"2 BHK Flat for Sale in Enclave, Chennai","A beautiful 2 BHK apartment located in Enclave, Chennai, close to schools and markets.",80.67 Lac,,"Enclave, Chennai",811 sqft,Under Construction,4 out of 15,New Property,Furnished,North,Main Road,,2.0,,1.0,Leasehold,95.6 sqm,28x28,
3009,"5 BHK Flat for Sale in Sector 13, Chandigarh","A beautiful 5 BHK apartment located in Sector 13, Chandigarh, close to schools and markets.",1.32 Cr,13176882.0,"Sector 13, Chandigarh",1887 sqft,Ready to Move,3 out of 3,New Property,Semi-Furnished,East,Not Available,Society 30,4.0,2.0,1.0,Leasehold,2482 sqft,43x43,2892 sqft
3010,"2 BHK Flat for Sale in Sector 14, Faridabad","A beautiful 2 BHK apartment located in Sector 14, Faridabad, close to schools and markets.",72.01 Lac,7201253.0,"Sector 14, Faridabad",860 sqft,Ready to Move,13 out of 16,New Property,Semi-Furnished,North-East,Not Available,Society 106,2.0,2.0,1.0,Power Of Attorney,108.7 sqm,29x29,1573 sqft
3011,"1 BHK Flat for Sale in Sector 40, Delhi","A beautiful 1 BHK apartment located in Sector 40, Delhi, close to schools and markets.",54.65 Lac,,"Sector 40, Delhi",347 sqft,Under Construction,12 out of 25,Resale,Semi-Furnished,North-West,Club,Society 375,1.0,0.0,2.0,Freehold,467 sqft,18x18,
3012,"3 BHK Flat for Sale in Sector 18, Lucknow","A beautiful 3 BHK apartment located in Sector 18, Lucknow, close to schools and markets.",79.61 Lac,,"Sector 18, Lucknow",116.2 sqm,Ready to Move,Basement out of 19,Resale,Semi-Furnished,West,,Society 328,3.0,2.0,,Leasehold,1635 sqft,35x35,
3013,"3 BHK Flat for Sale in Sector 57, Gurgaon","A beautiful 3 BHK apartment located in Sector 57, Gurgaon, close to schools and markets.",1.1 Cr,11009020.0,"Sector 57, Gurgaon",907 sqft,Under Construction,3 out of 18,New Property,Semi-Furnished,North,Garden/Park,Society 39,3.0,1.0,,Leasehold,121.1 sqm,30x30,
3014,"5 BHK Flat for Sale in Sector 47, Ahmedabad","A beautiful 5 BHK apartment located in Sector 47, Ahmedabad, close to schools and markets.",1.68 Cr,,"Sector 47, Ahmedabad",1807 sqft,Under Construction,9 out of 9,Resale,Furnished,South,,Society 257,,,2.0,Power Of Attorney,2399 sqft,42x42,
3015,"5 BHK Flat for Sale in Sector 23, Lucknow","A beautiful 5 BHK apartment located in Sector 23, Lucknow, close to schools and markets.",1.09 Cr,,"Sector 23, Lucknow",1529 sqft,Under Construction,15 out of 16,Resale,Semi-Furnished,West,Club,Society 186,5.0,1.0,2.0,Power Of Attorney,206.5 sqm,39x39,
3016,"1 BHK Flat for Sale in Sector 4, Faridabad","A beautiful 1 BHK apartment located in Sector 4, Faridabad, close to schools and markets.",23.47 Lac,,"Sector 4, Faridabad",342 sqft,Ready to Move,21 out of 30,Resale,Unfurnished,South,,Society 208,1.0,1.0,1.0,Freehold,466 sqft,18x18,622 sqft
3017,"3 BHK Flat for Sale in Sector 26, Chandigarh","A beautiful 3 BHK apartment located in Sector 26, Chandigarh, close to schools and markets.",87.5 Lac,,"Sector 26, Chandigarh",1112 sqft,Under Construction,13 out of 18,New Property,Unfurnished,South-East,Club,,3.0,2.0,,Freehold,1220 sqft,33x33,122.0 sqm
3018,"1 BHK Flat for Sale in Phase 1, Navi Mumbai","A beautiful 1 BHK apartment located in Phase 1, Navi Mumbai, close to schools and markets.",59.53 Lac,5952658.0,"Phase 1, Navi Mumbai",34.6 sqm,Under Construction,10 out of 17,New Property,Furnished,South-West,,Society 277,1.0,1.0,0.0,Power Of Attorney,42.7 sqm,19x19,
3019,"1 BHK Flat for Sale in Sector 37, Ghaziabad","A beautiful 1 BHK apartment located in Sector 37, Ghaziabad, close to schools and markets.",36.27 Lac,,"Sector 37, Ghaziabad",417 sqft,Ready to Move,7 out of 12,New Property,Semi-Furnished,South-West,Not Available,,1.0,,2.0,Freehold,52.6 sqm,20x20,
3020,"1 BHK Flat for Sale in Enclave, Lucknow","A beautiful 1 BHK apartment located in Enclave, Lucknow, close to schools and markets.",17.55 Lac,,"Enclave, Lucknow",354 sqft,Ready to Move,11 out of 15,Resale,Furnished,,Pool,Society 368,1.0,3.0,1.0,Freehold,460 sqft,18x18,
3021,"2 BHK Flat for Sale in Sector 52, Indore","A beautiful 2 BHK apartment located in Sector 52, Indore, close to schools and markets.",58.49 Lac,5848531.0,"Sector 52, Indore",748 sqft,Ready to Move,2 out of 12,New Property,Unfurnished,South-West,Pool,Society 155,1.0,3.0,2.0,Co-operative Society,85.2 sqm,27x27,
3022,"4 BHK Flat for Sale in Sector 59, Ghaziabad","A beautiful 4 BHK apartment located in Sector 59, Ghaziabad, close to schools and markets.",1.02 Cr,10207167.0,"Sector 59, Ghaziabad",1270 sqft,Ready to Move,12 out of 23,New Property,Unfurnished,North-East,Garden/Park,Society 110,4.0,0.0,1.0,Freehold,1772 sqft,35x35,
3023,"4 BHK Flat for Sale in Sector 51, Pune","A beautiful 4 BHK apartment located in Sector 51, Pune, close to schools and markets.",1.23 Cr,,"Sector 51, Pune",1764 sqft,Ready to Move,4 out of 7,Resale,Unfurnished,North,Club,Society 136,3.0,,1.0,Power Of Attorney,2230 sqft,42x42,2315 sqft
3024,"2 BHK Flat for Sale in Sector 26, Ghaziabad","A beautiful 2 BHK apartment located in Sector 26, Ghaziabad, close to schools and markets.",53.52 Lac,,"Sector 26, Ghaziabad",701 sqft,Under Construction,8 out of 17,New Property,Furnished,South-West,,Society 376,1.0,1.0,1.0,Co-operative Society,785 sqft,26x26,
3025,"2 BHK Flat for Sale in Phase 9, Delhi","A beautiful 2 BHK apartment located in Phase 9, Delhi, close to schools and markets.",1.24 Cr,,"Phase 9, Delhi",649 sqft,Ready to Move,2 out of 5,Resale,Semi-Furnished,West,,,2.0,2.0,1.0,Freehold,1040 sqft,25x25,
3026,"2 BHK Flat for Sale in Sector 11, Ahmedabad","A beautiful 2 BHK apartment located in Sector 11, Ahmedabad, close to schools and markets.",75.75 Lac,,"Sector 11, Ahmedabad",733 sqft,Ready to Move,1 out of 2,Resale,Unfurnished,North-West,Club,Society 67,2.0,1.0,1.0,Freehold,1162 sqft,27x27,
3027,"3 BHK Flat for Sale in Sector 34, Ghaziabad","A beautiful 3 BHK apartment located in Sector 34, Ghaziabad, close to schools and markets.",60.87 Lac,6086502.0,"Sector 34, Ghaziabad",87.7 sqm,Ready to Move,14 out of 17,Resale,Unfurnished,South,Pool,,2.0,1.0,0.0,Co-operative Society,1417 sqft,30x30,
3028,"3 BHK Flat for Sale in Phase 2, Nagpur","A beautiful 3 BHK apartment located in Phase 2, Nagpur, close to schools and markets.",54.61 Lac,5461391.0,"Phase 2, Nagpur",114.0 sqm,Ready to Move,6 out of 12,Resale,Unfurnished,South-West,Not Available,Society 20,3.0,,2.0,Co-operative Society,143.8 sqm,35x35,186.4 sqm
3029,"2 BHK Flat for Sale in Sector 52, Ahmedabad","A beautiful 2 BHK apartment located in Sector 52, Ahmedabad, close to schools and markets.",68.0 Lac,6800360.0,"Sector 52, Ahmedabad",68.7 sqm,Under Construction,1 out of 21,Resale,Furnished,North,Garden/Park,Society 153,2.0,3.0,1.0,Power Of Attorney,857 sqft,27x27,
3030,"2 BHK Flat for Sale in Sector 11, Delhi","A beautiful 2 BHK apartment located in Sector 11, Delhi, close to schools and markets.",1.71 Cr,,"Sector 11, Delhi",749 sqft,Under Construction,Basement out of 10,New Property,Semi-Furnished,North-West,Not Available,Society 341,2.0,1.0,,Freehold,907 sqft,27x27,
3031,"4 BHK Flat for Sale in Sector 57, Pune","A beautiful 4 BHK apartment located in Sector 57, Pune, close to schools and markets.",2.25 Cr,22500092.0,"Sector 57, Pune",1498 sqft,Ready to Move,Ground out of 1,New Property,Unfurnished,North-East,Club,Society 89,4.0,1.0,,Power Of Attorney,2409 sqft,38x38,2445 sqft
3032,"5 BHK Flat for Sale in Sector 16, Hyderabad","A beautiful 5 BHK apartment located in Sector 16, Hyderabad, close to schools and markets.",1.14 Cr,,"Sector 16, Hyderabad",1678 sqft,Ready to Move,Ground out of 19,Resale,Semi-Furnished,South,Garden/Park,Society 107,4.0,1.0,1.0,Power Of Attorney,2212 sqft,40x40,
3033,"4 BHK Flat for Sale in Sector 47, Hyderabad","A beautiful 4 BHK apartment located in Sector 47, Hyderabad, close to schools and markets.",1.36 Cr,,"Sector 47, Hyderabad",125.5 sqm,Ready to Move,Basement out of 9,Resale,Furnished,North,Not Available,Society 4,4.0,0.0,0.0,Leasehold,166.4 sqm,36x36,2075 sqft
3034,"3 BHK Flat for Sale in Sector 5, Chennai","A beautiful 3 BHK apartment located in Sector 5, Chennai, close to schools and markets.",1.44 Cr,14449617.0,"Sector 5, Chennai",1123 sqft,Ready to Move,16 out of 18,Resale,Semi-Furnished,South-West,,Society 67,3.0,1.0,1.0,Power Of Attorney,1474 sqft,33x33,1968 sqft
3035,"4 BHK Flat for Sale in Phase 8, Ghaziabad","A beautiful 4 BHK apartment located in Phase 8, Ghaziabad, close to schools and markets.",Call for Price,14413165.0,"Phase 8, Ghaziabad",158.1 sqm,Ready to Move,11 out of 25,New Property,Furnished,North-East,Main Road,Society 146,3.0,1.0,2.0,Power Of Attorney,2253 sqft,41x41,246.0 sqm
3036,"5 BHK Flat for Sale in Sector 20, Noida","A beautiful 5 BHK apartment located in Sector 20, Noida, close to schools and markets.",1.99 Cr,19882954.0,"Sector 20, Noida",1573 sqft,Ready to Move,24 out of 24,New Property,Furnished,South-East,Not Available,Society 197,4.0,2.0,1.0,Leasehold,2121 sqft,39x39,2336 sqft
3037,"1 BHK Flat for Sale in Sector 20, Indore","A beautiful 1 BHK apartment located in Sector 20, Indore, close to schools and markets.",24.91 Lac,,"Sector 20, Indore",424 sqft,Under Construction,25 out of 30,Resale,Furnished,North-East,Club,Society 11,1.0,1.0,2.0,Leasehold,48.6 sqm,20x20,
3038,"2 BHK Flat for Sale in Sector 26, Hyderabad","A beautiful 2 BHK apartment located in Sector 26, Hyderabad, close to schools and markets.",77.73 Lac,7773360.0,"Sector 26, Hyderabad",865 sqft,Ready to Move,18 out of 29,New Property,Unfurnished,West,Pool,Society 278,1.0,1.0,1.0,Freehold,97.8 sqm,29x29,
3039,"3 BHK Flat for Sale in Sector 40, Ahmedabad","A beautiful 3 BHK apartment located in Sector 40, Ahmedabad, close to schools and markets.",82.5 Lac,8249552.0,"Sector 40, Ahmedabad",1087 sqft,Ready to Move,8 out of 13,New Property,Furnished,West,Garden/Park,Society 206,3.0,1.0,2.0,Co-operative Society,144.0 sqm,32x32,
3040,"1 BHK Flat for Sale in Vihar, Mumbai","A beautiful 1 BHK apartment located in Vihar, Mumbai, close to schools and markets.",1.05 Cr,10492658.0,"Vihar, Mumbai",439 sqft,Under Construction,3 out of 12,New Property,Unfurnished,North,Not Available,Society 192,1.0,1.0,1.0,Leasehold,548 sqft,20x20,
3041,"2 BHK Flat for Sale in Colony, Mumbai","A beautiful 2 BHK apartment located in Colony, Mumbai, close to schools and markets.",3.15 Cr,,"Colony, Mumbai",67.5 sqm,Ready to Move,1 out of 28,New Property,Furnished,North-East,Garden/Park,Society 133,1.0,1.0,2.0,Power Of Attorney,94.6 sqm,26x26,
3042,"3 BHK Flat for Sale in Sector 5, Chandigarh","A beautiful 3 BHK apartment located in Sector 5, Chandigarh, close to schools and markets.",1.37 Cr,,"Sector 5, Chandigarh",1014 sqft,Ready to Move,6 out of 6,Resale,Furnished,North,Not Available,Society 104,3.0,0.0,1.0,Freehold,132.7 sqm,31x31,
3043,"5 BHK Flat for Sale in Sector 56, Indore","A beautiful 5 BHK apartment located in Sector 56, Indore, close to schools and markets.",85.07 Lac,,"Sector 56, Indore",2282 sqft,Ready to Move,2 out of 14,New Property,Unfurnished,North,Club,Society 73,5.0,,0.0,Leasehold,257.3 sqm,47x47,
3044,"2 BHK Flat for Sale in Sector 37, Indore","A beautiful 2 BHK apartment located in Sector 37, Indore, close to schools and markets.",57.41 Lac,5740862.0,"Sector 37, Indore",701 sqft,Under Construction,7 out of 19,New Property,Unfurnished,East,Main Road,Society 348,1.0,2.0,,Co-operative Society,902 sqft,26x26,
3045,"4 BHK Flat for Sale in Sector 6, Lucknow","A beautiful 4 BHK apartment located in Sector 6, Lucknow, close to schools and markets.",1.27 Cr,12714884.0,"Sector 6, Lucknow",151.4 sqm,Ready to Move,2 out of 15,New Property,Furnished,South-West,Pool,Society 102,4.0,2.0,1.0,Leasehold,2119 sqft,40x40,
3046,"5 BHK Flat for Sale in Phase 8, Gurgaon","A beautiful 5 BHK apartment located in Phase 8, Gurgaon, close to schools and markets.",3.32 Cr,,"Phase 8, Gurgaon",1973 sqft,Ready to Move,Basement out of 13,New Property,Unfurnished,East,,,5.0,2.0,,Power Of Attorney,2986 sqft,44x44,
3047,"2 BHK Flat for Sale in Sector 25, Delhi","A beautiful 2 BHK apartment located in Sector 25, Delhi, close to schools and markets.",1.72 Cr,,"Sector 25, Delhi",942 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,West,Pool,Society 361,2.0,,1.0,Co-operative Society,1187 sqft,30x30,
3048,"3 BHK Flat for Sale in Phase 4, Thane","A beautiful 3 BHK apartment located in Phase 4, Thane, close to schools and markets.",2.22 Cr,,"Phase 4, Thane",1371 sqft,Ready to Move,5 out of 21,Resale,Semi-Furnished,,Not Available,Society 159,3.0,0.0,,Power Of Attorney,169.3 sqm,37x37,
3049,"4 BHK Flat for Sale in Extension, Thane","A beautiful 4 BHK apartment located in Extension, Thane, close to schools and markets.",2.29 Cr,,"Extension, Thane",173.3 sqm,Ready to Move,1 out of 2,Resale,Unfurnished,South-East,Pool,Society 139,4.0,1.0,1.0,Freehold,2260 sqft,43x43,2650 sqft
3050,"3 BHK Flat for Sale in Enclave, Gurgaon","A beautiful 3 BHK apartment located in Enclave, Gurgaon, close to schools and markets.",1.52 Cr,15178705.0,"Enclave, Gurgaon",1153 sqft,Ready to Move,14 out of 25,Resale,Unfurnished,South,Garden/Park,,3.0,3.0,2.0,Leasehold,1496 sqft,33x33,185.9 sqm
3051,"3 BHK Flat for Sale in Sector 28, Navi Mumbai","A beautiful 3 BHK apartment located in Sector 28, Navi Mumbai, close to schools and markets.",2.0 Cr,,"Sector 28, Navi Mumbai",98.5 sqm,Under Construction,6 out of 28,New Property,Semi-Furnished,South-West,,Society 137,3.0,2.0,2.0,Power Of Attorney,1444 sqft,32x32,
3052,"2 BHK Flat for Sale in Sector 25, Delhi","A beautiful 2 BHK apartment located in Sector 25, Delhi, close to schools and markets.",1.33 Cr,,"Sector 25, Delhi",746 sqft,Under Construction,14 out of 14,New Property,Semi-Furnished,North,Garden/Park,Society 311,2.0,1.0,2.0,Leasehold,863 sqft,27x27,
3053,"4 BHK Flat for Sale in Sector 57, Kolkata","A beautiful 4 BHK apartment located in Sector 57, Kolkata, close to schools and markets.",99.06 Lac,9905799.0,"Sector 57, Kolkata",128.1 sqm,Ready to Move,1 out of 28,New Property,Unfurnished,North-West,,Society 310,4.0,2.0,0.0,Co-operative Society,1617 sqft,37x37,
3054,"1 BHK Flat for Sale in Sector 21, Noida","A beautiful 1 BHK apartment located in Sector 21, Noida, close to schools and markets.",22.9 Lac,2289693.0,"Sector 21, Noida",303 sqft,Under Construction,2 out of 12,Resale,Unfurnished,,Pool,Society 328,1.0,2.0,2.0,Power Of Attorney,395 sqft,17x17,
3055,"4 BHK Flat for Sale in Phase 7, Pune","A beautiful 4 BHK apartment located in Phase 7, Pune, close to schools and markets.",1.71 Cr,,"Phase 7, Pune",1747 sqft,Under Construction,Basement out of 12,Resale,Furnished,South-West,,Society 224,4.0,2.0,2.0,Power Of Attorney,2234 sqft,41x41,
3056,"3 BHK Flat for Sale in Sector 28, Thane","A beautiful 3 BHK apartment located in Sector 28, Thane, close to schools and markets.",2.01 Cr,20133511.0,"Sector 28, Thane",1076 sqft,Under Construction,2 out of 4,Resale,Unfurnished,,Not Available,Society 12,3.0,1.0,1.0,Freehold,1369 sqft,32x32,1846 sqft
3057,"1 BHK Flat for Sale in Sector 3, Noida","A beautiful 1 BHK apartment located in Sector 3, Noida, close to schools and markets.",58.95 Lac,5894573.0,"Sector 3, Noida",370 sqft,Under Construction,3 out of 5,New Property,Furnished,South-East,Garden/Park,Society 276,1.0,2.0,1.0,Leasehold,492 sqft,19x19,
3058,"3 BHK Flat for Sale in Sector 51, Jaipur","A beautiful 3 BHK apartment located in Sector 51, Jaipur, close to schools and markets.",1.06 Cr,10576020.0,"Sector 51, Jaipur",1214 sqft,Under Construction,11 out of 26,Resale,Furnished,North-West,Pool,Society 232,3.0,2.0,,Co-operative Society,158.7 sqm,34x34,
3059,"4 BHK Flat for Sale in Phase 5, Indore","A beautiful 4 BHK apartment located in Phase 5, Indore, close to schools and markets.",1.01 Cr,,"Phase 5, Indore",1346 sqft,Ready to Move,9 out of 17,Resale,Semi-Furnished,North,Not Available,Society 326,3.0,1.0,0.0,Leasehold,1741 sqft,36x36,1809 sqft
3060,"3 BHK Flat for Sale in Sector 6, Nagpur","A beautiful 3 BHK apartment located in Sector 6, Nagpur, close to schools and markets.",66.4 Lac,6640344.0,"Sector 6, Nagpur",1318 sqft,Ready to Move,5 out of 5,New Property,Semi-Furnished,West,Garden/Park,Society 269,2.0,1.0,2.0,Power Of Attorney,162.8 sqm,36x36,
3061,"3 BHK Flat for Sale in Sector 45, Gurgaon","A beautiful 3 BHK apartment located in Sector 45, Gurgaon, close to schools and markets.",1.94 Cr,19398646.0,"Sector 45, Gurgaon",1134 sqft,Under Construction,7 out of 13,New Property,Furnished,South,Pool,Society 351,3.0,0.0,,Co-operative Society,1776 sqft,33x33,
3062,"3 BHK Flat for Sale in Sector 46, Navi Mumbai","A beautiful 3 BHK apartment located in Sector 46, Navi Mumbai, close to schools and markets.",2.65 Cr,26484024.0,"Sector 46, Navi Mumbai",1136 sqft,Ready to Move,28 out of 30,Resale,Furnished,East,Pool,Society 336,2.0,2.0,1.0,Leasehold,1499 sqft,33x33,
3063,"4 BHK Flat for Sale in Sector 6, Mumbai","A beautiful 4 BHK apartment located in Sector 6, Mumbai, close to schools and markets.",6.06 Cr,,"Sector 6, Mumbai",1438 sqft,Ready to Move,23 out of 30,Resale,Unfurnished,South-East,,Society 8,3.0,1.0,0.0,Co-operative Society,2298 sqft,37x37,2468 sqft
3064,"3 BHK Flat for Sale in Sector 29, Thane","A beautiful 3 BHK apartment located in Sector 29, Thane, close to schools and markets.",2.4 Cr,,"Sector 29, Thane",102.8 sqm,Under Construction,6 out of 10,Resale,Furnished,South-East,Not Available,Society 45,2.0,2.0,1.0,Leasehold,135.1 sqm,33x33,
3065,"4 BHK Flat for Sale in Sector 53, Lucknow","A beautiful 4 BHK apartment located in Sector 53, Lucknow, close to schools and markets.",98.36 Lac,9836265.0,"Sector 53, Lucknow",1730 sqft,Under Construction,15 out of 26,New Property,Furnished,East,,Society 378,4.0,0.0,0.0,Leasehold,210.5 sqm,41x41,2455 sqft
3066,"4 BHK Flat for Sale in Sector 7, Hyderabad","A beautiful 4 BHK apartment located in Sector 7, Hyderabad, close to schools and markets.",1.33 Cr,,"Sector 7, Hyderabad",1473 sqft,Ready to Move,2 out of 4,New Property,Furnished,South,Not Available,Society 211,4.0,1.0,0.0,Co-operative Society,2079 sqft,38x38,
3067,"3 BHK Flat for Sale in Sector 33, Navi Mumbai","A beautiful 3 BHK apartment located in Sector 33, Navi Mumbai, close to schools and markets.",1.66 Cr,,"Sector 33, Navi Mumbai",1012 sqft,Ready to Move,28 out of 28,New Property,Furnished,North-East,Garden/Park,,2.0,3.0,0.0,Freehold,127.9 sqm,31x31,
3068,"5 BHK Flat for Sale in Sector 33, Kolkata","A beautiful 5 BHK apartment located in Sector 33, Kolkata, close to schools and markets.",2.58 Cr,25823848.0,"Sector 33, Kolkata",1916 sqft,Under Construction,6 out of 20,Resale,Furnished,North-East,Garden/Park,Society 358,5.0,,0.0,Power Of Attorney,2651 sqft,43x43,
3069,"2 BHK Flat for Sale in Phase 8, Thane","A beautiful 2 BHK apartment located in Phase 8, Thane, close to schools and markets.",1.94 Cr,,"Phase 8, Thane",739 sqft,Under Construction,6 out of 11,Resale,Furnished,South,,Society 75,2.0,1.0,1.0,Power Of Attorney,1062 sqft,27x27,115.6 sqm
3070,"2 BHK Flat for Sale in Sector 22, Delhi","A beautiful 2 BHK apartment located in Sector 22, Delhi, close to schools and markets.",1.05 Cr,10505178.0,"Sector 22, Delhi",761 sqft,Ready to Move,14 out of 21,Resale,Semi-Furnished,South-East,Garden/Park,Society 370,2.0,1.0,2.0,Power Of Attorney,905 sqft,27x27,
3071,"5 BHK Flat for Sale in Sector 15, Lucknow","A beautiful 5 BHK apartment located in Sector 15, Lucknow, close to schools and markets.",1.1 Cr,,"Sector 15, Lucknow",1725 sqft,Under Construction,2 out of 4,Resale,Furnished,North-East,Pool,Society 79,5.0,0.0,2.0,Co-operative Society,185.4 sqm,41x41,
3072,"3 BHK Flat for Sale in Sector 33, Chandigarh","A beautiful 3 BHK apartment located in Sector 33, Chandigarh, close to schools and markets.",1.04 Cr,10393913.0,"Sector 33, Chandigarh",951 sqft,Under Construction,Ground out of 19,New Property,Unfurnished,South-East,Garden/Park,Society 103,3.0,,,Leasehold,121.1 sqm,30x30,
3073,"2 BHK Flat for Sale in Sector 48, Nagpur","A beautiful 2 BHK apartment located in Sector 48, Nagpur, close to schools and markets.",4.04 Lac,,"Sector 48, Nagpur",692 sqft,Ready to Move,10 out of 24,Resale,Furnished,South-West,Main Road,Society 144,2.0,3.0,0.0,Co-operative Society,910 sqft,26x26,
3074,"3 BHK Flat for Sale in Sector 48, Navi Mumbai","A beautiful 3 BHK apartment located in Sector 48, Navi Mumbai, close to schools and markets.",2.7 Cr,,"Sector 48, Navi Mumbai",126.0 sqm,Ready to Move,1 out of 6,Resale,Semi-Furnished,East,Main Road,,3.0,1.0,1.0,Leasehold,1817 sqft,36x36,
3075,"4 BHK Flat for Sale in Sector 11, Mumbai","A beautiful 4 BHK apartment located in Sector 11, Mumbai, close to schools and markets.",4.34 Cr,43366284.0,"Sector 11, Mumbai",129.7 sqm,Ready to Move,6 out of 22,Resale,Unfurnished,South-West,Club,Society 202,3.0,,0.0,Co-operative Society,1658 sqft,37x37,
3076,"2 BHK Flat for Sale in Sector 55, Lucknow","A beautiful 2 BHK apartment located in Sector 55, Lucknow, close to schools and markets.",49.49 Lac,,"Sector 55, Lucknow",906 sqft,Under Construction,2 out of 2,New Property,Unfurnished,North-West,Not Available,Society 295,2.0,2.0,0.0,Co-operative Society,1169 sqft,30x30,
3077,"2 BHK Flat for Sale in Sector 15, Kolkata","A beautiful 2 BHK apartment located in Sector 15, Kolkata, close to schools and markets.",93.25 Lac,9324816.0,"Sector 15, Kolkata",842 sqft,Under Construction,12 out of 12,Resale,Semi-Furnished,South,Main Road,Society 318,2.0,2.0,0.0,Leasehold,1176 sqft,29x29,
3078,"4 BHK Flat for Sale in Sector 35, Noida","A beautiful 4 BHK apartment located in Sector 35, Noida, close to schools and markets.",1.97 Cr,19703767.0,"Sector 35, Noida",154.5 sqm,Under Construction,Ground out of 3,Resale,Semi-Furnished,South,Not Available,Society 196,4.0,1.0,2.0,Freehold,190.9 sqm,40x40,
3079,"2 BHK Flat for Sale in Sector 5, Hyderabad","A beautiful 2 BHK apartment located in Sector 5, Hyderabad, close to schools and markets.",1.12 Cr,11207812.0,"Sector 5, Hyderabad",886 sqft,Under Construction,Basement out of 2,Resale,Semi-Furnished,North-East,,Society 48,2.0,2.0,1.0,Power Of Attorney,1062 sqft,29x29,
3080,"1 BHK Flat for Sale in Sector 49, Pune","A beautiful 1 BHK apartment located in Sector 49, Pune, close to schools and markets.",47.48 Lac,4747591.0,"Sector 49, Pune",392 sqft,Ready to Move,11 out of 21,Resale,Furnished,South-West,Not Available,Society 391,1.0,2.0,1.0,Co-operative Society,494 sqft,19x19,
3081,"5 BHK Flat for Sale in Sector 19, Jaipur","A beautiful 5 BHK apartment located in Sector 19, Jaipur, close to schools and markets.",1.2 Cr,,"Sector 19, Jaipur",1995 sqft,Ready to Move,4 out of 11,Resale,Semi-Furnished,West,Pool,Society 1,5.0,0.0,,Freehold,2722 sqft,44x44,3590 sqft
3082,"3 BHK Flat for Sale in Sector 20, Lucknow","A beautiful 3 BHK apartment located in Sector 20, Lucknow, close to schools and markets.",48.34 Lac,,"Sector 20, Lucknow",1315 sqft,Under Construction,16 out of 20,New Property,Unfurnished,North,Club,Society 74,2.0,2.0,1.0,Freehold,130.3 sqm,36x36,176.3 sqm
3083,"5 BHK Flat for Sale in Sector 58, Indore","A beautiful 5 BHK apartment located in Sector 58, Indore, close to schools and markets.",1.07 Cr,,"Sector 58, Indore",1814 sqft,Under Construction,2 out of 6,New Property,Semi-Furnished,North-East,Main Road,Society 169,,0.0,,Leasehold,194.1 sqm,42x42,
3084,"1 BHK Flat for Sale in Sector 27, Navi Mumbai","A beautiful 1 BHK apartment located in Sector 27, Navi Mumbai, close to schools and markets.",47.8 Lac,4780263.0,"Sector 27, Navi Mumbai",40.4 sqm,Under Construction,20 out of 22,New Property,Unfurnished,South,Pool,Society 226,1.0,1.0,1.0,Leasehold,561 sqft,20x20,
3085,"4 BHK Flat for Sale in Phase 7, Gurgaon","A beautiful 4 BHK apartment located in Phase 7, Gurgaon, close to schools and markets.",1.67 Cr,16700299.0,"Phase 7, Gurgaon",1679 sqft,Ready to Move,6 out of 8,Resale,Furnished,,Pool,Society 310,4.0,1.0,2.0,Freehold,1968 sqft,40x40,2326 sqft
3086,"3 BHK Flat for Sale in Sector 25, Navi Mumbai","A beautiful 3 BHK apartment located in Sector 25, Navi Mumbai, close to schools and markets.",1.75 Cr,17513720.0,"Sector 25, Navi Mumbai",1143 sqft,Under Construction,11 out of 15,Resale,Unfurnished,South-West,Not Available,Society 39,3.0,2.0,2.0,Leasehold,123.4 sqm,33x33,
3087,"5 BHK Flat for Sale in Phase 2, Indore","A beautiful 5 BHK apartment located in Phase 2, Indore, close to schools and markets.",1.28 Cr,,"Phase 2, Indore",1794 sqft,Ready to Move,Basement out of 4,New Property,Semi-Furnished,South,,Society 43,,,1.0,Power Of Attorney,248.4 sqm,42x42,
3088,"4 BHK Flat for Sale in Sector 1, Surat","A beautiful 4 BHK apartment located in Sector 1, Surat, close to schools and markets.",94.33 Lac,9432837.0,"Sector 1, Surat",1626 sqft,Ready to Move,Basement out of 18,New Property,Unfurnished,South,Main Road,Society 276,3.0,1.0,0.0,Freehold,2273 sqft,40x40,
3089,"1 BHK Flat for Sale in Phase 4, Ahmedabad","A beautiful 1 BHK apartment located in Phase 4, Ahmedabad, close to schools and markets.",Call for Price,2945430.0,"Phase 4, Ahmedabad",377 sqft,Under Construction,Ground out of 2,New Property,Furnished,West,Club,Society 370,1.0,3.0,0.0,Leasehold,549 sqft,19x19,742 sqft
3090,"5 BHK Flat for Sale in Colony, Kolkata","A beautiful 5 BHK apartment located in Colony, Kolkata, close to schools and markets.",1.71 Cr,17107539.0,"Colony, Kolkata",194.5 sqm,Under Construction,18 out of 21,Resale,Unfurnished,East,Not Available,,5.0,2.0,1.0,Co-operative Society,239.9 sqm,45x45,
